RecordID,Date,Time,Latitude,Longitude,Altitude,Pitch,Roll,Yaw,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,AccX,AccY,AccZ,ImgID
38,16-04-22,2:00:24,-24.71835927,28.6299993,421.9766976,-1.046567082,-2.529609919,2.983159065,0.000611538,-0.002515322,0.000373611,-0.211183712,-10.65524292,-20.96989441,0.016104,-0.005856,-0.008052,0
39,16-04-22,2:00:24,-24.70282054,28.64450699,421.9701719,-1.042494178,-2.526126385,2.975108624,-0.001701348,-0.000629156,6.00E-05,-0.282666683,-10.81755924,-21.16957664,0.016592,-0.005368,-0.007076,0
40,16-04-22,2:00:24,-24.69194565,28.65465314,421.9656054,-1.042257071,-2.521878004,2.968686342,-0.001233114,0.000614865,-0.000505869,0.170625955,-10.75618839,-20.63481903,0.015859999,-0.006832,-0.008784,0
41,16-04-22,2:00:24,-24.68076623,28.66509423,421.9608929,-1.041691422,-2.515377045,2.963859558,0.000294359,-0.001802957,0.00068887,0.04899748,-10.98498154,-20.43308258,0.015616,-0.0061,-0.005368,0
42,16-04-22,2:00:25,-24.67177317,28.67342984,421.9571801,-1.040735364,-2.512254,2.961447477,-0.002077617,-0.00086912,0.000943284,0.196271241,-10.9287405,-20.69212341,0.016104,-0.005856,-0.007808,0
43,16-04-22,2:00:25,-24.66231441,28.68227106,421.9531944,-1.040751338,-2.509572744,2.959433556,-0.000519082,-0.0008913,3.06E-05,0.222034723,-11.02256584,-20.77219582,0.017568,-0.005124,-0.007076,0
44,16-04-22,2:00:25,-24.65283622,28.69113546,421.9491942,-1.043058157,-2.50737381,2.958010197,0.000725646,-0.000527557,4.41E-05,0.204291016,-10.88960838,-20.61197281,0.01708,-0.006344,-0.008052,0
45,16-04-22,2:00:25,-24.64244181,28.70082568,421.9448343,-1.042124629,-2.510028124,2.961827993,-0.001630275,-0.002280217,1.21E-05,0.104868777,-10.80294991,-20.91788292,0.017568,-0.00488,-0.0061,0
46,16-04-22,2:00:25,-24.63282891,28.70975571,421.940826,-1.045016408,-2.513225794,2.96625948,0.001464445,0.00019819,0.001192154,0.179178685,-10.79810619,-21.33649826,0.01708,-0.004392,-0.009272,0
47,16-04-22,2:00:26,-24.62332762,28.71863751,421.9368145,-1.046082377,-2.519172907,2.971992731,-7.60E-05,-0.002243386,-2.75E-05,0.212621987,-10.62443542,-21.22621346,0.016835999,-0.004392,-0.007808,0
48,16-04-22,2:00:26,-24.61207291,28.72913779,421.9320756,-1.04553628,-2.52354002,2.97393012,-0.001254098,-0.000694265,0.001216865,0.238011613,-11.03165245,-20.83002281,0.015616,-0.005124,-0.006832,0
49,16-04-22,2:00:26,-24.60157789,28.73888979,421.9277008,-1.044215322,-2.523585558,2.977651119,0.001219988,0.000210856,-0.001230718,0.099548467,-11.01027966,-21.00427628,0.015616,-0.00488,-0.006832,0
50,16-04-22,2:00:26,-24.59119453,28.74856701,421.9233458,-1.048679948,-2.525751591,2.981165409,-4.58E-05,-0.000128414,0.00084789,0.336811185,-10.87198257,-21.0249424,0.016104,-0.005368,-0.00732,0
51,16-04-22,2:00:26,-24.58159664,28.75749925,421.919324,-1.051209092,-2.526038885,2.987977743,-0.000927866,-0.001647902,-0.001205831,0.57936275,-11.1377058,-21.41775322,0.015859999,-0.005368,-0.007808,0
52,16-04-22,2:00:27,-24.57123197,28.76712435,421.9149947,-1.050349355,-2.532564878,2.991179943,0.001544299,0.001073397,-0.000855926,0.427884012,-11.23133469,-21.24755669,0.016348001,-0.004392,-0.006832,0
53,16-04-22,2:00:27,-24.56014207,28.77746065,421.9103375,-1.054469705,-2.534798145,2.99456048,0.000821097,0.000415687,-0.000185364,0.49928546,-11.17217827,-21.14466095,0.016348001,-0.005612,-0.008052,0
54,16-04-22,2:00:27,-24.54910128,28.78773393,421.9057138,-1.053113937,-2.534130096,2.993583202,0.000478867,-0.001378088,0.000979251,0.140423581,-10.84955883,-21.46827888,0.015372,-0.005612,-0.00854,0
55,16-04-22,2:00:27,-24.53886095,28.79725356,421.9014257,-1.050943255,-2.530269384,2.98340416,0.003194259,-0.001347346,0.000735026,0.072982557,-10.51502132,-20.91454124,0.018056,-0.004636,-0.008296,0
56,16-04-22,2:00:28,-24.52460689,28.81050489,421.8954591,-1.054120302,-2.531712532,2.985566139,0.001377534,-0.000779253,-0.000510843,0.17461881,-10.81896782,-21.24596596,0.015372,-0.0061,-0.00854,0
57,16-04-22,2:00:28,-24.51365204,28.8206865,421.8908739,-1.056265593,-2.52961421,2.983944654,0.000657739,0.000493591,0.000441322,0.114465974,-10.6883049,-21.65715027,0.019763999,-0.006344,-0.005856,0
58,16-04-22,2:00:28,-24.50240942,28.83113488,421.8861672,-1.059005141,-2.527711391,2.979063988,-0.00139831,-0.000454379,-0.000470701,0.204518199,-11.15376091,-20.52158356,0.016348001,-0.005368,-0.007076,0
59,16-04-22,2:00:28,-24.4927613,28.84009175,421.8821335,-1.058036804,-2.525248528,2.978957176,-0.003252242,-0.000145535,-0.000458932,0.445532233,-10.98625755,-20.83402061,0.017811999,-0.004148,-0.007564,0
60,16-04-22,2:00:29,-24.48164232,28.85042256,421.8774835,-1.059626579,-2.527328253,2.98071909,0.001556883,0.00050422,0.000166621,0.550310612,-10.69990349,-20.96100044,0.016104,-0.006344,-0.009028,0
61,16-04-22,2:00:29,-24.47053728,28.86072094,421.8728435,-1.057461023,-2.525259018,2.977853775,0.001592305,0.001095688,0.000169694,0.505020618,-10.83653545,-20.97685623,0.016348001,-0.005368,-0.006588,0
62,16-04-22,2:00:29,-24.45869115,28.87172101,421.8678877,-1.058552504,-2.526894808,2.979997396,-0.001058728,0.001087673,0.00049245,0.328296751,-10.85355949,-21.1169529,0.017568,-0.005612,-0.00732,0
63,16-04-22,2:00:29,-24.4490828,28.88063503,421.8638714,-1.060321927,-2.529272556,2.982525826,-0.001884587,0.001083073,0.000129803,0.386178493,-10.86475563,-21.43379211,0.016835999,-0.00488,-0.005856,0
64,16-04-22,2:00:29,-24.43942958,28.88959308,421.8598372,-1.060390592,-2.52684021,2.978057146,-0.001882749,-0.001067327,-0.000449445,0.569748521,-11.07669258,-21.15880585,0.01708,-0.0061,-0.007808,0
65,16-04-22,2:00:30,-24.42829883,28.89991343,421.8551857,-1.061787486,-2.520083666,2.97199893,0.003251212,0.000213507,0.000106174,0.509896398,-11.01138496,-21.3211174,0.017324001,-0.005124,-0.008052,0
66,16-04-22,2:00:30,-24.41725419,28.91015422,421.8505707,-1.062060595,-2.521049261,2.974037409,-0.00093461,-0.000769275,0.001002723,0.400883466,-10.85185528,-21.22470665,0.017811999,-0.005612,-0.005368,0
67,16-04-22,2:00:30,-24.40703237,28.91963105,421.8463029,-1.059452534,-2.51878047,2.967241526,-0.001824018,0.001083699,-0.000520202,0.745646417,-10.89065933,-21.43796539,0.016592,-0.005124,-0.007564,0
68,16-04-22,2:00:30,-24.39213673,28.93340558,421.8401058,-1.0587641,-2.505680799,2.953080416,-0.000606637,0.000749923,-0.000464515,0.565500081,-10.89676952,-21.5094738,0.018300001,-0.00488,-0.007076,0
69,16-04-22,2:00:31,-24.38335531,28.94157714,421.8364115,-1.059921622,-2.510964394,2.963169575,0.000885285,-0.001009696,0.000115592,0.195871383,-11.37547398,-21.56046104,0.016104,-0.006588,-0.006832,0
70,16-04-22,2:00:31,-24.36844994,28.9553706,421.8301949,-1.057152033,-2.512324572,2.963821411,-0.002508469,-0.000375984,-0.000301239,0.32614848,-11.08089161,-20.81497002,0.015859999,-0.004636,-0.00854,0
71,16-04-22,2:00:31,-24.35512417,28.96770768,421.8246337,-1.060744047,-2.512578964,2.966494322,-0.001720686,0.001445369,0.0014765,0.189985976,-10.99854851,-20.4145565,0.018056,-0.005856,-0.00732,0
72,16-04-22,2:00:31,-24.34548627,28.97663181,421.8206108,-1.060372829,-2.507563591,2.964422703,-0.001921099,0.000856955,-7.26E-06,0.218402073,-10.79458904,-20.88116646,0.01708,-0.005612,-0.007076,0
73,16-04-22,2:00:32,-24.33509792,28.98624192,421.8162781,-1.056553006,-2.506911516,2.960652828,-0.001259929,-0.000700803,-0.000336858,0.327291876,-10.80301094,-21.1831913,0.01464,-0.005124,-0.008052,0
74,16-04-22,2:00:32,-24.32400511,28.99650632,421.8116524,-1.054132938,-2.5044806,2.956014872,-0.000394702,-0.000677845,0.000871781,0.32439664,-10.62226009,-21.49027061,0.017324001,-0.004636,-0.007076,0
75,16-04-22,2:00:32,-24.31372767,29.00600882,421.8073673,-1.052754641,-2.507498741,2.958364964,0.00198121,-0.000105455,0.001176105,0.224769518,-10.94428158,-21.7316761,0.016104,-0.004392,-0.009516,0
76,16-04-22,2:00:32,-24.30347203,29.0154944,421.8030919,-1.054259777,-2.514030933,2.964935541,-0.001413492,0.001353553,0.000602734,0.13978681,-10.89292049,-21.80655289,0.018056,-0.002928,-0.011224,0
77,16-04-22,2:00:32,-24.29396036,29.02428961,421.7991256,-1.055269957,-2.520970583,2.973091125,0.001033662,0.000120325,0.000327646,0.234958038,-11.04164982,-21.19253922,0.017811999,-0.005368,-0.006588,0
78,16-04-22,2:00:33,-24.28264096,29.03472629,421.7944192,-1.054024577,-2.525672436,2.978423357,0.000154117,-0.000198795,-0.001440855,0.135914013,-10.88755989,-21.0372963,0.015859999,-0.005124,-0.006832,0
79,16-04-22,2:00:33,-24.27208455,29.04447494,421.7900219,-1.054276466,-2.526952505,2.980891943,-0.00012422,0.000431423,0.000981128,0.178939193,-10.99611568,-20.61768341,0.01708,-0.005856,-0.007808,0
80,16-04-22,2:00:33,-24.26314172,29.05271572,421.786328,-1.057299018,-2.524982929,2.979593039,0.001380797,-0.001123808,0.00217158,0.465305239,-11.09613323,-21.039011,0.017568,-0.006344,-0.006588,0
81,16-04-22,2:00:33,-24.25358064,29.06156406,421.7823289,-1.056454539,-2.520253658,2.973971605,-0.000529565,-0.000809478,0.00182359,0.221798792,-11.09118748,-21.02361679,0.016592,-0.003904,-0.006588,0
82,16-04-22,2:00:34,-24.2423646,29.07194415,421.7776332,-1.055919409,-2.520670176,2.978046417,0.000567662,0.001052878,0.000895173,-0.006541783,-11.15566921,-20.3701458,0.017811999,-0.005612,-0.00732,0
83,16-04-22,2:00:34,-24.23192595,29.08157835,421.7732882,-1.056843758,-2.517112732,2.976572514,-7.52E-05,0.00046039,0.001145959,0.310996532,-11.03364754,-20.44985199,0.016835999,-0.006832,-0.00732,0
84,16-04-22,2:00:34,-24.2207529,29.0918908,421.7686381,-1.053336263,-2.515686035,2.975026131,-1.43E-05,0.000807481,-0.000946288,0.520876348,-10.99388313,-20.75686264,0.016592,-0.006588,-0.009028,0
85,16-04-22,2:00:34,-24.20896148,29.10273688,421.7637479,-1.051108003,-2.522622347,2.981328487,-0.002313366,-0.000948405,-0.001242639,0.287327379,-10.57321072,-21.10888863,0.016835999,-0.005124,-0.00488,0
86,16-04-22,2:00:34,-24.19983382,29.11114362,421.7599729,-1.051179171,-2.521771669,2.975944757,0.000470204,-0.00062944,0.00027157,0.467932284,-10.69306374,-20.83776665,0.016348001,-0.005856,-0.007564,0
87,16-04-22,2:00:35,-24.18943764,29.1207861,421.7555863,-1.048805594,-2.522601604,2.978177071,0.000413146,-0.00211466,3.60E-06,0.533634961,-10.94602394,-21.40398788,0.018056,-0.00732,-0.009272,0
88,16-04-22,2:00:35,-24.17880234,29.13057827,421.7511839,-1.045979977,-2.518965721,2.974632263,-0.000232833,0.000953136,-0.000306944,0.438756585,-11.15763283,-21.27621651,0.017324001,-0.005368,-0.00854,0
89,16-04-22,2:00:35,-24.16909466,29.13952102,421.7471477,-1.044540524,-2.518502712,2.977823019,9.08E-05,-0.000567239,-0.002202983,0.336405754,-11.24513912,-21.02552223,0.015616,-0.006344,-0.008296,0
90,16-04-22,2:00:35,-24.15790206,29.14983736,421.7424945,-1.041571498,-2.518947124,2.975364685,0.000394475,0.001256599,0.001159847,0.46225065,-11.16065025,-20.95428848,0.016104,-0.005612,-0.00732,0
91,16-04-22,2:00:36,-24.1460351,29.16074295,421.7375846,-1.041877151,-2.52390933,2.982242346,0.000707,-0.000884697,0.000520476,0.529591322,-10.13466263,-21.16749001,0.016348001,-0.00488,-0.007808,0
92,16-04-22,2:00:36,-24.13474373,29.17116881,421.732869,-1.041880846,-2.527270079,2.978070021,0.002440447,0.002086625,-0.001552912,0.18118678,-10.38593006,-21.09685326,0.016592,-0.005368,-0.006588,0
93,16-04-22,2:00:36,-24.12427259,29.18080434,421.7285183,-1.043702722,-2.521392107,2.972619057,-0.001198931,-3.45E-05,-0.000320142,0.180279151,-10.55469322,-21.11073685,0.016835999,-0.0061,-0.008784,0
94,16-04-22,2:00:36,-24.11525196,29.18905898,421.7248129,-1.042423248,-2.522822857,2.972762346,-0.002731126,0.000865962,-0.002101068,0.083150662,-10.77667999,-21.32941246,0.018544,-0.006588,-0.007076,0
95,16-04-22,2:00:36,-24.10480903,29.19871732,421.7204316,-1.044110179,-2.519487143,2.969537497,0.002434338,0.000241548,0.000605104,0.125214964,-10.64409637,-21.77997589,0.016835999,-0.005368,-0.006832,0
96,16-04-22,2:00:37,-24.09505795,29.20768104,421.7163892,-1.04305923,-2.52038312,2.968567133,4.98E-05,-0.000399448,-0.00086195,0.358693808,-10.57257748,-21.68473434,0.017568,-0.005612,-0.00854,0
97,16-04-22,2:00:37,-24.08448826,29.21740689,421.7119978,-1.043190479,-2.516309261,2.968149662,-0.000325678,0.000206964,-0.000595517,0.79223454,-10.97879219,-22.04740334,0.017811999,-0.006344,-0.009028,0
98,16-04-22,2:00:37,-24.07395791,29.22708551,421.7076281,-1.0423311,-2.523708582,2.970005989,-0.001841225,0.000205113,0.000600294,0.66773361,-10.82455444,-21.56441307,0.015616,-0.007564,-0.009028,0
99,16-04-22,2:00:37,-24.06414467,29.2361034,421.7035581,-1.043499351,-2.51025486,2.953628063,-0.000342971,0.00052745,0.000619832,0.744171023,-10.8551321,-21.16707039,0.016104,-0.005612,-0.00732,0
100,16-04-22,2:00:38,-24.05361157,29.24580168,421.6991805,-1.047562957,-2.515926361,2.962059975,0.002441926,-0.00276045,-0.002079077,0.970990598,-10.94468975,-20.65286827,0.01708,-0.00488,-0.00732,0
101,16-04-22,2:00:38,-24.0441141,29.25441133,421.6953436,-1.049298525,-2.512995958,2.959173679,-0.000912476,0.002356336,7.52E-05,0.276735127,-10.99903297,-21.23266983,0.015616,-0.005368,-0.007076,0
102,16-04-22,2:00:38,-24.0364021,29.26149513,421.6921457,-1.050691843,-2.509365797,2.955591917,-0.000867719,-0.000953591,0.000688424,0.355777949,-11.09875107,-21.11777115,0.017568,-0.007076,-0.006588,0
103,16-04-22,2:00:38,-24.03027839,29.26712725,421.6896011,-1.050071478,-2.510710955,2.957205772,-0.000252536,-0.000331302,-0.000246434,0.414221138,-10.6933527,-21.27147293,0.017324001,-0.005124,-0.008052,0
104,16-04-22,2:00:38,-24.02295709,29.27384753,421.686568,-1.051275611,-2.514808178,2.961997986,0.001906151,-0.001506065,6.21E-05,0.540985882,-10.68187237,-21.18030167,0.015372,-0.00488,-0.00732,0
105,16-04-22,2:00:38,-24.01682639,29.27947404,421.6840263,-1.049285054,-2.515047789,2.963081837,0.00065528,-0.000842071,0.000368483,0.41104725,-10.8869524,-21.47434616,0.016592,-0.005856,-0.007564,0
106,16-04-22,2:00:39,-24.00693769,29.28864184,421.679849,-1.04769361,-2.515197039,2.96162653,-0.000228228,6.17E-05,-0.000215308,0.38037011,-10.81459522,-21.37264252,0.01708,-0.00732,-0.008052,0
107,16-04-22,2:00:39,-23.99715423,29.29762093,421.6757928,-1.05028224,-2.521441936,2.968207121,-0.00014063,-0.001410531,-0.00050595,0.473153561,-10.86461353,-21.42446518,0.015616,-0.00488,-0.006344,0
108,16-04-22,2:00:39,-23.98661174,29.30734055,421.6713781,-1.05138123,-2.520012856,2.966831207,-0.000486048,0.000675269,0.001639573,0.198549077,-10.93688488,-21.55398941,0.01708,-0.005368,-0.008784,0
109,16-04-22,2:00:39,-23.97731129,29.31579028,421.6676058,-1.050727844,-2.521380424,2.968508244,-0.001374604,-0.001201153,-0.001749214,0.383151978,-10.85272694,-21.61259079,0.01708,-0.007076,-0.007808,0
110,16-04-22,2:00:39,-23.96606967,29.32616763,421.6628908,-1.054042339,-2.51824975,2.965348482,0.001000537,0.000934361,0.000632664,0.782366753,-11.07535839,-21.36628532,0.016835999,-0.006344,-0.00854,0
111,16-04-22,2:00:40,-23.9555647,29.33580445,421.6585381,-1.050632596,-2.519647598,2.966681242,-0.000795603,-0.001779288,0.000621671,0.778366387,-10.72515678,-21.29770851,0.014396,-0.004636,-0.006832,0
112,16-04-22,2:00:40,-23.94365004,29.34669955,421.6536284,-1.0515064,-2.514013529,2.959071875,-0.002403747,7.94E-05,-0.000275301,0.684666932,-10.65139198,-21.1258831,0.018300001,-0.005368,-0.00732,0
113,16-04-22,2:00:40,-23.93384069,29.3556843,421.6495593,-1.05082345,-2.511483192,2.955172777,3.99E-05,-0.000531446,3.01E-05,0.892566085,-10.47330666,-20.74660301,0.016104,-0.003416,-0.00976,0
114,16-04-22,2:00:40,-23.92244433,29.36615744,421.6448251,-1.050155163,-2.517505169,2.958759546,0.000956634,-0.000836822,-0.001191631,0.809711516,-10.88171005,-21.77356148,0.01708,-0.00732,-0.009272,0
115,16-04-22,2:00:41,-23.91118171,29.37647692,421.6401647,-1.047762275,-2.516392708,2.958797932,0.00126172,0.001606388,0.000640753,0.88402313,-10.85184097,-21.741045,0.015859999,-0.005612,-0.009028,0
116,16-04-22,2:00:41,-23.89924617,29.38738224,421.6352488,-1.047292113,-2.519176006,2.961324453,0.000345606,0.000690146,0.00033561,0.434229344,-10.90608788,-21.3769722,0.014396,-0.006588,-0.00854,0
117,16-04-22,2:00:41,-23.88862161,29.39712923,421.6308289,-1.045868039,-2.521924734,2.963877439,4.06E-05,-0.000531438,-0.00119154,0.570329905,-10.08399868,-21.60643768,0.016104,-0.004636,-0.006832,0
118,16-04-22,2:00:41,-23.87873272,29.40618289,421.6267429,-1.045735836,-2.520612955,2.960203648,0.000651574,-0.000226006,-0.001496674,0.613452256,-10.44758797,-21.46772194,0.01464,-0.006588,-0.00732,0
119,16-04-22,2:00:41,-23.86887616,29.41520296,421.6226647,-1.049839854,-2.516798973,2.954821587,-0.0005702,-0.000225937,3.07E-05,0.614229083,-10.52464104,-21.57894707,0.015859999,-0.005124,-0.009516,0
120,16-04-22,2:00:42,-23.85824933,29.42492571,421.6182729,-1.048053026,-2.522681475,2.959512711,-0.002708202,0.000384829,-0.000885379,0.372938126,-11.04133034,-21.94690895,0.017324001,-0.006588,-0.007076,0
121,16-04-22,2:00:42,-23.84768946,29.43458428,421.6139069,-1.052640676,-2.520734549,2.96006918,-0.001180945,-0.000225954,-0.000274061,0.625977993,-11.37057114,-21.73878098,0.017811999,-0.004392,-0.006588,0
122,16-04-22,2:00:42,-23.83417616,29.44694118,421.6083226,-1.050657988,-2.517698765,2.959723949,0.001872526,-0.00175303,-0.000274166,1.080352902,-11.26386833,-21.52934837,0.015372,-0.005612,-0.009028,0
